property,sentence
0,The debug system follows the execution-based debug approach described in the RISC-V Debug Specification 0.13.2 and provides the following features.
0,This module provides a RISC-V Debug Specification-compliant debug system with TileLink Uncached Light bus interfaces.
0,"The main functionality is provided by the PULP RISC-V Debug System, which is instantiated by this module."
0,All bus interfaces are converted into TL-UL.
0,See the PULP RISC-V Debug System Documentation for a full list of features and further design documentation.
0,This document only describes the additional logic provided on top of the PULP RISC-V Debug System.
0,"Referring to the Comportable guideline for peripheral device functionality, the module rv_dm has the following hardware interfaces defined."
0,This is a latched version of the lc_hw_debug_en signal and is only used to gate the JTAG / TAP side of the RV_DM.
0,This signal indicates whether the debug module is active and can be used to prevent power down of the core and bus-attached peripherals.
0,The debug module is enabled with the LC_HW_DEBUG_EN signal.
0,This enablement is implemented by gating / enabling critical blocks with separately buffered copies of the life cycle signal.
0,"This comprises the debug module interface (DMI) attached to the TAP, the reset request line, the system bus access module (SBA), the debug request output, the TL-UL adapter for the debug ROM, and the ifetch indicator being fed into the TL-UL adapter for the debug ROM."
0,Debug system functionality is controlled by the HW_DEBUG_EN function of the life cycle controller.
0,The debug system provides a standard JTAG (IEEE Std 1149.1-2013) port for external debug access.
0,All JTAG logic is clocked with an externally supplied test clock (tck).
0,The protocol used for this JTAG port is specified in the RISC-V Debug Specification as JTAG Debug Transport Module (DTM).
0,It is up to the larger system design to specify which parts of the system are actually reset by this signal.
0,The dmactive_o signals that some kind of debugging is ongoing.
0,"Use this signal to prevent the power down of the core and bus-attached peripherals, which might be accessed by the debug system."
0,Most communication between the core and the debug system is performed through the debug memory.
0,"To enter debug mode due to an external debug request, the debug system provides a debug_req_o interrupt."
1,"If the core is unavailable to the debug system, e.g. because it is powered down or in a locked-down state, the unavailable_i signal can signal this condition to the debug system."
0,The debug system implements execution-based debug according to the RISC-V Debug Specification.
0,"Most interactions between the core and the debug system are performed through the debug memory, a bus-exposed memory."
0,The memory needs to be accessible from the core instruction and data interfaces.
0,A full memory map is part of the PULP RISC-V Debug System Documentation.
0,"Bus-attached peripherals can be accessed through the debug system, a functionality called System Bus Access (SBA) in the RISC-V Debug Specification."
0,It is up to the interconnect fabric to decide which peripherals are actually accessible.
0,The debug system wrapper provides a TL-UL host bus interface for SBA.
0,The RISC-V Instruction Set Manual Volume II: Privileged Architecture Privileged Architecture Version 1.10 Warning!
0,This draft specification may change before being accepted as standard by the RISC-V Foundation.
0,"While the editors intend future changes to this specification to be forward compatible, it remains possible that implementations made to this draft specification will not conform to the future standard."
0,Contributors to all versions of the spec in alphabetical order (please contact editors to suggest corrections):
0,"Krste Asanovi´c, Rimas Avizienis, Jacob Bachmeyer, Allen J. Baum, Paolo Bonzini, Ruslan Bukin, Christopher Celio, David Chisnall, Anthony Coulter, Palmer Dabbelt, Monte Dalrymple, Dennis Ferguson, Mike Frysinger, John Hauser, David Horner, Olof Johansson, Yunsup Lee, Andrew Lutomirski, Jonathan Neusch¨afer, Rishiyur Nikhil, Stefan O'Rear, Albert Ou, John Ousterhout, David Patterson, Colin Schmidt, Wesley Terpstra, Matt Thomas, Tommy Thorn, Ray VanDeWalker, Megan Wachs, Andrew Waterman, and Reinoud Zandijk."
0,This document is released under a Creative Commons Attribution 4.0 International License.
0,"This document is a derivative of the RISC-V privileged specification version 1.9.1 released under following license: c 2010-2017 Andrew Waterman, Yunsup Lee, Rimas Avizienis, David Patterson, Krste Asanovi´c."
0,Creative Commons Attribution 4.0 International License.
0,"Please cite as: The RISC-V Instruction Set Manual, Volume II: Privileged Architecture, Version 1.10, Editors Andrew Waterman and Krste Asanovi´c, RISC-V Foundation, May 2017."
0,This is version 1.10 of the RISC-V privileged architecture proposal.
0,"Changes from version 1.9.1 include: 4.0 International Licence by the original authors, and this and future versions of this document will be released under the same licence."
0,The explicit convention on shadow CSR addresses has been removed to reclaim CSR space.
0,Shadow CSRs can still be added as needed.
0,The mvendorid register now contains the JEDEC code of the core provider as opposed to a code supplied by the Foundation.
0,This avoids redundancy and offloads work from the Foundation.
0,"An optional mechanism to change the base ISA used by supervisor and user modes has been added to the mstatus CSR, and the field previously called Base in misa has been renamed to MXL for consistency."
0,Clarified expected use of XS to summarize additional extension state status fields in mstatus.
0,Optional vectored interrupt support has been added to the mtvec and stvec CSRs.
0,The SEIP and UEIP bits in the mip CSR have been redefined to support software injection of external interrupts.
0,The mbadaddr register has been subsumed by a more general mtval register that can now capture bad instruction bits on an illegal instruction fault to speed instruction emulation.
0,The machine-mode base-and-bounds translation and protection schemes have been removed from the specification as part of moving the virtual memory configuration to sptbr (now satp).
0,"Some of the motivation for the base and bound schemes are now covered by the PMP registers, but space remains available in mstatus to add these back at a later date if deemed useful."
1,"In systems with only M-mode, or with both M-mode and U-mode but without U-mode trap support, the medeleg and mideleg registers now do not exist, whereas previously they returned zero."
0,Virtual-memory page faults now have mcause values distinct from physical-memory access exceptions.
0,Page-fault exceptions can now be delegated to S-mode without delegating exceptions generated by PMA and PMP checks.
0,The supervisor virtual memory configuration has been moved from the mstatus register to the sptbr register.
0,"Accordingly, the sptbr register has been renamed to satp (Supervisor"
0, The SFENCE.VM instruction has been removed in favor of the improved SFENCE.VMA instruction.
0,The mstatus bit MXR has been exposed to S-mode via sstatus.
0,The polarity of the PUM bit in sstatus has been inverted to shorten code sequences involving MXR.
0,The bit has been renamed to SUM.
0,Hardware management of page-table entry Accessed and Dirty bits has been made optional; simpler implementations may trap to software to set them.
0,"The counter-enable scheme has changed, so that S-mode can control availability of counters to U-mode."
0,"H-mode has been removed, as we are focusing on recursive virtualization support in S-mode."
0,The encoding space has been reserved and may be repurposed at a later date.
0,A mechanism to improve virtualization performance by trapping S-mode virtual-memory management operations has been added.
0,"The Supervisor Binary Interface (SBI) chapter has been removed, so that it can be maintained as a separate specification."
0,This is version 1.9.1 of the RISC-V privileged architecture proposal.
0,Changes from version 1.9 include:
0,Change configuration string proposal to be use a search process that supports various formats including Device Tree String and flattened Device Tree.
0,Made misa optionally writable to support modifying base and supported ISA extensions.
0,CSR address of misa changed.
0,Added a hardware performance monitoring scheme.
0,"Simplified the handling of existing hardware counters, removing privileged versions of the counters and the corresponding delta registers."
0,3.1.7 Privilege and Global Interrupt-Enable Stack in mstatus register	20
0,This is a draft of the privileged architecture description document for RISC-V.
0,Changes will occur before the final release.
0,"This document describes the RISC-V privileged architecture, which covers all aspects of RISC-V systems beyond the user-level ISA, including privileged instructions as well as additional functionality required for running operating systems and attaching external devices."
0,"Commentary on our design decisions is formatted as in this paragraph, and can be skipped if the reader is only interested in the specification itself."
0,"We briefly note that the entire privileged-level design described in this document could be replaced with an entirely different privileged-level design without changing the user-level ISA, and possibly without even changing the ABI."
0,"In particular, this privileged specification was designed to run existing popular operating systems, and so embodies the conventional level-based protection model."
0,Alternate privileged specifications could embody other more flexible protection-domain models.
0,"A RISC-V hardware platform can contain one or more RISC-V-compatible processing cores together with other non-RISC-V-compatible cores, fixed-function accelerators, various physical memory structures, I/O devices, and an interconnect structure to allow the components to communicate."
1,A component is termed a core if it contains an independent instruction fetch unit.
0,A RISC-V core might have additional specialized instruction set extensions or an added coprocessor.
0,"We use the term coprocessor to refer to a unit that is attached to a RISC-V core and is mostly sequenced by a RISC-V instruction stream, but which contains additional architectural state and instruction set extensions, and possibly some limited autonomy relative to the primary RISC-V instruction stream."
0,We use the term accelerator to refer to either a non-programmable fixed-function unit or a core that can operate autonomously but is specialized for certain tasks.
0,"In RISC-V systems, we expect many programmable accelerators will be RISC-V-based cores with specialized instruction set extensions and/or customized coprocessors."
0,"An important class of RISC-V accelerators are I/O accelerators, which offload I/O processing tasks from the main application cores."
0,The system-level organization of a RISC-V hardware platform can range from a single-core microcontroller to a many-thousand-node cluster of shared-memory manycore server nodes.
0,Even small systems-on-a-chip might be structured as a hierarchy of multicomputers and/or multiprocessors to modularize development effort or to provide secure isolation between subsystems.
0,This document focuses on the privileged architecture visible to each hart (hardware thread) running within a uniprocessor or a shared-memory multiprocessor.
0,This section describes the terminology we use to describe components of the wide range of possible privileged software stacks for RISC-V.
0,Figure 1.1 shows some of the possible software stacks that can be supported by the RISC-V architecture.
0,The left-hand side shows a simple system that supports only a single application running on an application execution environment (AEE).
0,The application is coded to run with a particular application binary interface (ABI).
0,The ABI includes the supported user-level ISA plus a set of ABI calls to interact with the AEE.
0,The ABI hides details of the AEE from the application to allow greater flexibility in implementing the AEE.
0,"The same ABI could be implemented natively on multiple different host OSs, or could be supported by a user-mode emulation environment running on a machine with a different native ISA."
0,Figure 1.1: Different implementation stacks supporting various forms of privileged execution.
0,separate them from concrete instances of components implementing the interfaces.
0,The middle configuration shows a conventional operating system (OS) that can support multiprogrammed execution of multiple applications.
0,"Each application communicates over an ABI with the OS, which provides the AEE."
0,"Just as applications interface with an AEE via an ABI, RISC-V operating systems interface with a supervisor execution environment (SEE) via a supervisor binary interface (SBI)."
0,An SBI comprises the user-level and supervisor-level ISA together with a set of
0,Using a single SBI across all SEE implementations allows a single OS binary image to run on any SEE.
0,"The SEE can be a simple boot loader and BIOS-style IO system in a low-end hardware platform, or a hypervisor-provided virtual machine in a high-end server, or a thin translation layer over a host operating system in an architecture simulation environment."
0,"Most supervisor-level ISA definitions do not separate the SBI from the execution environment and/or the hardware platform, complicating virtualization and bring-up of new hardware platforms."
0,The rightmost configuration shows a virtual machine monitor configuration where multiple multiprogrammed OSs are supported by a single hypervisor.
0,"Each OS communicates via an SBI with the hypervisor, which provides the SEE."
0,"The hypervisor communicates with the hypervisor execution environment (HEE) using a hypervisor binary interface (HBI), to isolate the hypervisor from details of the hardware platform."
0,"The ABI, SBI, and HBI are still a work-in-progress, but we are now prioritizing support for Type-2 hypervisors where the SBI is provided recursively by an S-mode OS."
0,"Hardware implementations of the RISC-V ISA will generally require additional features beyond the privileged ISA to support the various execution environments (AEE, SEE, or HEE)."
1,"At any time, a RISC-V hardware thread (hart) is running at some privilege level encoded as a mode in one or more CSRs (control and status registers)."
0,Three RISC-V privilege levels are currently defined as shown in Table 1.1.
0,"Privilege levels are used to provide protection between different components of the software stack, and attempts to perform operations not permitted by the current privilege mode will cause an exception to be raised."
0,These exceptions will normally cause traps into an underlying execution environment.
0,The machine level has the highest privileges and is the only mandatory privilege level for a RISC-V hardware platform.
0,"Code run in machine-mode (M-mode) is usually inherently trusted, as it has low-level access to the machine implementation."
0,M-mode can be used to manage secure execution environments on RISC-V. User-mode (U-mode) and supervisor-mode (S-mode) are intended for conventional application and operating system usage respectively.
0,S mode suitable for both Type-1 and Type-2 hypervisors as described in Chapter 5.
0,The encoding space for H is reserved for future use and to avoid backwards incompatible changes in bit positions in various status regusters.
0,The bit positions might be reused in the future for different Type-1 hypervisor support or possibly additional secure execution modes.
0,Each privilege level has a core set of privileged ISA extensions with optional extensions and variants.
0,"For example, machine-mode supports several optional standard variants for address translation and memory protection."
0,"Also, supervisor-mode can be extended to support Type-2 hypervisor execution as described in Chapter 5."
0,"Implementations might provide anywhere from 1 to 3 privilege modes trading off reduced isolation for lower implementation cost, as shown in Table 1.2."
0,"In the description, we try to separate the privilege level for which code is written, from the privilege mode in which it runs, although the two are often tied."
0,"For example, a supervisorlevel operating system can run in supervisor-mode on a system with three privilege modes, but can also run in user-mode under a classic virtual machine monitor on systems with two or more privilege modes."
0,"In both cases, the same supervisor-level operating system binary code can be used, coded to a supervisor-level SBI and hence expecting to be able to use supervisor-level privileged instructions and CSRs."
1,"When running a guest OS in user mode, all supervisor-level actions will be trapped and emulated by the SEE running in the higher-privilege level."
1,"All hardware implementations must provide M-mode, as this is the only mode that has unfettered access to the whole machine."
0,"The simplest RISC-V implementations may provide only M-mode, though this will provide no protection against incorrect or malicious application code."
0,The lock feature of the optional PMP facility can provide some limited protection even with only M-mode implemented.
0,Many RISC-V implementations will also support at least user mode (U-mode) to protect the rest of the system from application code.
0,Supervisor mode (S-mode) can be added to provide isolation between a supervisor-level operating system and the SEE.
1,"A hart normally runs application code in U-mode until some trap (e.g., a supervisor call or a timer interrupt) forces a switch to a trap handler, which usually runs in a more privileged mode."
1,"The hart will then execute the trap handler, which will eventually resume execution at or after the original trapped instruction in U-mode."
0,"Traps that increase privilege level are termed vertical traps, while traps that remain at the same privilege level are termed horizontal traps."
0,The RISC-V privileged architecture provides flexible routing of traps to different privilege layers.
0,Horizontal traps can be implemented as vertical traps that return control to a horizontal trap handler in the less-privileged mode.
0,Implementations may also include a debug mode to support off-chip debugging and/or manufacturing test.
0,"Debug mode (D-mode) can be considered an additional privilege mode, with even more access than M-mode."
0,The separate debug specification proposal describes operation of a RISC-V hart in debug mode.
0,"Debug mode reserves a few CSR addresses that are only accessible in D-mode, and may also reserve some portions of the physical memory space on a platform."
0,The SYSTEM major opcode is used to encode all privileged instructions in the RISC-V ISA.
0,"These can be divided into two main classes: those that atomically read-modify-write control and status registers (CSRs), and all other privileged instructions."
0,"In addition to the user-level state described in Volume I of this manual, an implementation may contain additional CSRs, accessible by some subset of the privilege levels using the CSR instructions described in the user-level manual."
0,"In this chapter, we map out the CSR address space."
0,"The following chapters describe the function of each of the CSRs according to privilege level, as well as the other privileged instructions which are generally closely associated with a particular privilege level."
0,"Note that although CSRs and instructions are associated with one privilege level, they are also accessible at all higher privilege levels."
0,"The standard RISC-V ISA sets aside a 12-bit encoding space (csr[11:0]) for up to 4,096 CSRs."
0,"By convention, the upper 4 bits of the CSR address (csr[11:8]) are used to encode the read and write accessibility of the CSRs according to privilege level as shown in Table 2.1."
0,"The top two bits (csr[11:10]) indicate whether the register is read/write (00, 01, or 10) or read-only (11)."
0,The next two bits (csr[9:8]) encode the lowest privilege level that can access the CSR.
0,The CSR address convention uses the upper bits of the CSR address to encode default access privileges.
0,"This simplifies error checking in the hardware and provides a larger CSR space, but does constrain the mapping of CSRs into the address space."
0, Implementations might allow a more-privileged level to trap otherwise permitted CSR accesses by a less-privileged level to allow these accesses to be intercepted.
0,This change should be transparent to the less-privileged software.
1,Attempts to access a non-existent CSR raise an illegal instruction exception.
1,Attempts to access a CSR without appropriate privilege level or to write a read-only register also raise illegal instruction exceptions.
1,"A read/write register might also contain some bits that are read-only, in which case writes to the read-only bits are ignored."
0,Table 2.1 also indicates the convention to allocate CSR addresses between standard and nonstandard uses.
0,The CSR addresses reserved for non-standard uses will not be redefined by future standard extensions.
0,We have dropped the explicit allocation of CSR space for shadow CSRs to leave more flexibility for allocated other CSRs.
0,Shadow CSRs can still be added in the appropriate R/W space.
0,The counters are the only shadowed CSRs in the current spec.
0, Shadows CSRs provide a read-write address via which a higher privilege level can modify a register that is read-only at a lower privilege level.
1,"Note that if one privilege level has already allocated a read/write shadow address, then any higher privilege level can use the same CSR address for read/write access to the same register."
0," Effective virtualization requires that as many instructions run natively as possible inside a virtualized environment, while any privileged accesses trap to the virtual machine monitor [1]."
0,CSRs that are read-only at some lower privilege level are shadowed into separate CSR addresses if they are made read-write at a higher privilege level.
0,This avoids trapping permitted lowerprivilege accesses while still causing traps on illegal accesses.
1,Machine-mode standard read-write CSRs 0x7A0-0x7BF are reserved for use by the debug system.
1,Implementations should raise illegal instruction exceptions on machine-mode access to these registers.
